HSA_NAME,Availability of Early Head Start*,# of 802 Quits Partners,# Ladies First Enrollees*,# Clinics that test for chlamydia,Availability of Methadone Treatment Clinic* ,Availability of Buprenorphine Treatment Clinic Aside from Private Provider* ,# of Private Providers for Buprenorphine Treatment*
Barre,1,1,68,3,1,1,23
Bennington,1,1,123,2,0,0,5
Brattleboro,1,0,37,2,1,1,28
Burlington,1,1,86,8,1,1,39
Middlebury,0,1,44,2,0,0,8
Morrisville,0,1,29,2,0,0,21
Newport,1,1,105,3,1,1,2
Randolph,1,1,68,2,0,0,6
Rutland,0,1,112,1,0,0,7
Springfield,0,1,33,4,0,0,11
St. Albans,1,1,52,6,0,0,14
St. Johnsbury,1,1,76,4,1,0,19
White River Jct,1,2,23,3,0,0,24
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
* = hsa-level data converted from county-level data,,,,,,,